Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2
Blazing Angels, Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0,0.1,0.67
Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.63,0.03,0.26,1.52
Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67
Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0,0.57,0.04,0,0.61
Full Auto 2: Battlelines,PS3,2006,Racing,Sega,0.14,0.02,0,0.02,0.18
Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
Madden NFL 07,PS3,2006,Sports,Electronic Arts,0.47,0,0.01,0.04,0.52
Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami Digital Entertainment,0,0,0.03,0,0.03
